title,address,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,1210 Kingsview Dr SE # 2,Smyrna,GA,30080,545000,5,4,"3,241",,https://www.zillow.com/homedetails/1210-Kingsview-Dr-SE-2-Smyrna-GA-30080/2090383950_zpid/
New Construction,3421 Bryerstone Cir SE # 7LKOFW,Smyrna,GA,30080,575900,4,3,"3,413",,https://www.zillow.com/community/highpointe-at-vinings/2094871075_zpid/
Condo For Sale,1403 Cumberland Ct SE,Smyrna,GA,30080,179900,2,2,"1,610",,https://www.zillow.com/homedetails/1403-Cumberland-Ct-SE-Smyrna-GA-30080/14314492_zpid/
New Construction,136 Blakemore Dr SE # Q6LDF5,Smyrna,GA,30080,427990,3,3,"2,154",,https://www.zillow.com/community/village-of-belmont-park/2100053478_zpid/
New Construction,136 Blakemore Dr SE # UU665M,Smyrna,GA,30080,451990,3,3,"2,671",,https://www.zillow.com/community/village-of-belmont-park/2100053476_zpid/
House For Sale,1526 Wedmore Ct SE,Smyrna,GA,30080,419900,4,3,"3,069",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/1526-Wedmore-Ct-SE-Smyrna-GA-30080/60156782_zpid/
House For Sale,1815 Mackinaw Pl SE,Smyrna,GA,30080,269900,3,2,"1,120",Housepad,https://www.zillow.com/homedetails/1815-Mackinaw-Pl-SE-Smyrna-GA-30080/14308406_zpid/
New Construction,136 Blakemore Dr SE # 6ODWM9,Smyrna,GA,30080,334990,3,3,"1,643",,https://www.zillow.com/community/village-of-belmont-cottages/2100052645_zpid/
New Construction,3945 Central Garden Ct # WYZXBC,Smyrna,GA,30080,639900,4,4,"3,565",,https://www.zillow.com/community/central-garden/2090754778_zpid/
House For Sale,3118 Prestwick Pl SE,Smyrna,GA,30080,215000,1,1,1075,,https://www.zillow.com/homedetails/3118-Prestwick-Pl-SE-Smyrna-GA-30080/14308330_zpid/
Condo For Sale,66 Fair Haven Way SE,Smyrna,GA,30080,110000,1,2,881,,https://www.zillow.com/homedetails/66-Fair-Haven-Way-SE-Smyrna-GA-30080/14310129_zpid/
House For Sale,4423 Oakdale Vinings Lndg SE,Smyrna,GA,30080,399800,3,3,"2,683",ALL ATLANTA REALTY,https://www.zillow.com/homedetails/4423-Oakdale-Vinings-Lndg-SE-Smyrna-GA-30080/60156668_zpid/
New Construction,2359 Montford Pl SE # 47,Smyrna,GA,30080,515953,3,4,"3,057","Ashton Woods Realty, Llc",https://www.zillow.com/homedetails/2359-Montford-Pl-SE-47-Smyrna-GA-30080/2090409273_zpid/
Condo For Sale,40 Lakes Edge Dr SE,Smyrna,GA,30080,162500,2,2,"1,436",,https://www.zillow.com/homedetails/40-Lakes-Edge-Dr-SE-Smyrna-GA-30080/14310489_zpid/
Townhouse For Sale,1405 Hawthorne Ave SE,Smyrna,GA,30080,344900,3,4,"2,214",Southmark Properties Inc.,https://www.zillow.com/homedetails/1405-Hawthorne-Ave-SE-Smyrna-GA-30080/124730404_zpid/
House For Sale,1795 Martin Pl SE,Smyrna,GA,30080,305000,8,4,"2,527",Atlanta Home Connections,https://www.zillow.com/homedetails/1795-Martin-Pl-SE-Smyrna-GA-30080/14299626_zpid/
New Construction,518 Windy Hill Rd SE # WYTC4,Smyrna,GA,30080,382400,3,3,"2,870",,https://www.zillow.com/community/smyrna-grove/2095343606_zpid/
New Construction,518 Windy Hill Rd SE # YY643E,Smyrna,GA,30080,403900,3,3,"3,146",,https://www.zillow.com/community/smyrna-grove/2095356586_zpid/
Condo For Sale,1106 Vinings Forest Ln SE,Smyrna,GA,30080,210000,2,3,"1,644",,https://www.zillow.com/homedetails/1106-Vinings-Forest-Ln-SE-Smyrna-GA-30080/60156046_zpid/
