No,price
1081,205000
1082,77000
1083,194500
1084,126500
1085,136000
1086,130000
1087,149000
1088,155000
1089,150000
1090,140000
1091,126500
1092,148000
1093,155000
1094,26500
1095,228000
1096,302500
1097,219000
1098,145500
1099,249900
